"Company","Specific.Bean.Origin","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin","Bar.Price"
"Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"Criollo","Peru",3.25700680585578
"Adi aka Fijiana (Easy In Ltd)","Vanua Levu",705,2011,60,"Fiji",NA,"Trinitario","Fiji",3.87838555383496
"Adi aka Fijiana (Easy In Ltd)","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Trinitario","Fiji",8.33573345583864
"Adi aka Fijiana (Easy In Ltd)","Vanua Levu",705,2011,88,"Fiji",3.5,"Trinitario","Fiji",NA
"Adi aka Fijiana (Easy In Ltd)","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Trinitario","Fiji",3.41923104831949
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",NA,"Forastero (Arriba)","Ecuador",6.88390014134347
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Forastero (Arriba)","Ecuador",NA
"Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Criollo","Mexico",NA
"Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"Trinitario","Indonesia",1.18066608277149
"Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",NA,"Criollo","Madagascar",3.58261857321486
"Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",NA,"Forastero","Brazil",6.56216085935012
"Alain Ducasse","Mexique",1992,2017,75,"France",3.5,"Criollo (Porcelana)","Mexico",5.13482204545289
"Alain Ducasse","Trinite",1215,2014,65,"France",NA,"Trinitario","Trinidad",8.22014395380393
"Alain Ducasse","Vietnam",1215,2014,75,"France",NA,"Trinitario","Vietnam",NA
"Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Trinitario","Madagascar",2.27716217003763
"Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Trinitario","Venezuela",1.44474037084728
"Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,"","Peru",4.65062740049325
"Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Forastero (Nacional)","Ecuador",NA
"Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Criollo, Trinitario","Nicaragua",NA
"Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Trinitario","Vietnam",NA
"Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Forastero","Tanzania",6.57330835051835
"Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",NA,"","Nicaragua",1.56384998513386
"Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,"","Peru",NA
"Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,"","Bolivia",4.16618118318729
"Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,"","Peru",1.25193314743228
"Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",NA,"","Ecuador",NA
"Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,"","Venezuela",7.82613583770581
"Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Trinitario","Dominican Republic",7.38621869264171
"Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,"","Bolivia",NA
"Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,"","Bolivia",8.8129612619523
"Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,"","Peru",NA
"AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Forastero (Catongo)","Brazil",2.86628949828446
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",NA,"Forastero (Parazinho)","Brazil",3.18211369845085
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"Forastero (Parazinho)","Brazil",NA
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"Forastero (Parazinho)","Brazil",1.37915210844949
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"Forastero (Parazinho)","Brazil",2.73534352192655
"Amano","Morobe",725,2011,70,"U.S.A.",4,"","Papua New Guinea",3.73647222178988
"Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,"","Dominican Republic",5.1509491330944
"Amano","Guayas",470,2010,70,"U.S.A.",4,"","Ecuador",5.75888856383972
"Amano","Chuao",544,2010,70,"U.S.A.",3,"Trinitario","Venezuela",6.91498954431154
"Amano","Montanya",363,2009,70,"U.S.A.",3,"","Venezuela",8.06813756562769
"Amano","Bali, Jembrana",304,2008,70,"U.S.A.",NA,"","Indonesia",NA
"Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Trinitario","Madagascar",8.50960880145431
"Amano","Cuyagua",147,2007,70,"U.S.A.",3,"","Venezuela",5.03328802483156
"Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"Criollo","Venezuela",6.41229153377935
"Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Forastero","Ghana",1.89501241012476
"Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",NA,"","Ecuador",6.5651610463392
"Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",NA,"","Ecuador",9.71777051175013
"Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Forastero","Ghana",8.93779803370126
"Amazing Cacao","Platan Bajo",1964,2017,70,"Russia",3.5,"","Peru",6.77902437536977
"Amazing Cacao","Maranon",1964,2017,70,"Russia",3,"","Peru",6.25485102366656
"Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,"","Peru",NA
"Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Trinitario","Peru",9.12910204241052
"Ambrosia","Belize",1494,2015,64,"Canada",3,"Trinitario","Belize",NA
"Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Trinitario","Madagascar",NA
"Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,"","Dominican Republic",7.27636389597319
"Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,"","Papua New Guinea",7.81596243265085
"Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,"","Venezuela",1.23487949487753
"Ambrosia","Peru",1498,2015,68,"Canada",3.5,"","Peru",6.14741782587953
"Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,"","Peru",NA
"Amedei","Porcelana",111,2007,70,"Italy",4,"Criollo (Porcelana)","Venezuela",NA
"Amedei","Nine",111,2007,75,"Italy",4,"Blend","",5.74655446549878
"Amedei","Chuao",111,2007,70,"Italy",5,"Trinitario","Venezuela",3.59439584286883
"Amedei","Ecuador",123,2007,70,"Italy",3,"Trinitario","Ecuador",8.98646279145032
"Amedei","Jamaica",123,2007,70,"Italy",3,"Trinitario","Jamaica",4.18514114664868
"Amedei","Grenada",123,2007,70,"Italy",3.5,"Trinitario","Grenada",4.33193318638951
"Amedei","Venezuela",123,2007,70,"Italy",3.75,"Trinitario (85 Criollo)","Venezuela",NA
"Amedei","Madagascar",123,2007,70,"Italy",4,"Trinitario (85 Criollo)","Madagascar",1.86670999624766
"Amedei","Trinidad",129,2007,70,"Italy",3.5,"Trinitario","Trinidad",NA
"Amedei","Toscano Black",170,2007,63,"Italy",3.5,"Blend","",NA
"Amedei","Toscano Black",40,2006,70,"Italy",5,"Blend","",NA
"Amedei","Toscano Black",75,2006,66,"Italy",4,"Blend","",6.83700713771395
"Anahata","Elvesia",1259,2014,75,"U.S.A.",3,"","Dominican Republic",NA
"Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,"","Bolivia",2.89438371197321
"Ara","Equateur",1379,2014,75,"France",NA,"","Ecuador",2.34471245994791
"Ara","Trincheras",1379,2014,75,"France",3,"","Venezuela",NA
"Ara","Madagascar",1375,2014,75,"France",3,"Trinitario","Madagascar",NA
"Ara","Chiapas",1379,2014,72,"France",2.5,"","Mexico",3.57656813832
"Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Trinitario","Trinidad",7.77638852153905
"Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,"","Tanzania",4.8200688555371
"Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Trinitario","Vietnam",NA
"Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,"","Ecuador",NA
"Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,"","Ecuador",NA
"Arete","Lachua",1904,2016,70,"U.S.A.",3.5,"","Guatemala",3.87677907408215
"Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,"","Nicaragua",NA
"Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,"","Honduras",NA
"Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,"","Costa Rica",NA
"Arete","Phantom",1924,2016,70,"U.S.A.",4,"Forastero (Nacional)","Peru",NA
"Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,"","Dominican Republic",NA
"Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,"","Fiji",4.02698085317388
"Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,"","Vietnam",5.8833853341639
"Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,"","Brazil",5.04639919684269
"Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Forastero (Nacional)","Peru",3.36480650026351
"Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"Forastero (Nacional)","Ecuador",7.35851711034775
"Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,"","Domincan Republic",NA
"Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"Trinitario","Belize",NA
"Arete","Chuno",1598,2015,70,"U.S.A.",4,"Criollo, Trinitario","Nicaragua",4.78705038060434
"Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",NA,"","Brazil",6.05508047970943
"Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,"","Guatemala",NA
"Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,"","Ecuador",2.56585435080342
"Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Trinitario","Trinidad",8.38427060958929
"Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,"","Colombia",NA
"Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,"","Haiti",4.48748431913555
"Artisan du Chocolat","Panama",745,2011,72,"U.K.",NA,"","Panama",1.65222234744579
"Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,"","Venezuela",NA
"Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"Trinitario","Jamaica",NA
"Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,"","Costa Rica",7.21890864870511
"Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Trinitario","Vietnam",4.08527921512723
"Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,"","Indonesia",3.51301429583691
"Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Criollo, Trinitario","Venezuela",NA
"Artisan du Chocolat","Java",355,2009,72,"U.K.",NA,"Trinitario","Indonesia",1.74278063466772
"Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,"","Brazil",8.1587981833145
"Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Criollo, Trinitario","Madagascar",5.02333295368589
"Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Criollo","Peru",3.43490385147743
"Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Trinitario","Dominican Republic",NA
"Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"Forastero","Congo",6.45028157322668
"Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",NA,"Trinitario","Colombia",8.79988337447867
"Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"Trinitario","Tanzania",6.66975748119876
"Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"Trinitario","Tanzania",2.85878250654787
"Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"Trinitario","Honduras",2.95203486527316
"Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"Trinitario","Philippines",3.53996575647034
"Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Trinitario","Mexico",5.93198984698392
"Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Forastero (Arriba)","Ecuador",2.83369432203472
"Bahen & Co.","Houseblend",1474,2015,80,"Australia",3.25,"","",NA
"Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,"","Papua New Guinea",NA
"Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Trinitario","Madagascar",3.76987486868165
"Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,"","Brazil",1.97941665793769
"Bahen & Co.","Houseblend",999,2012,70,"Australia",2.5,"Blend","",8.09376250626519
"Bakau","Bambamarca, 2015",1454,2015,70,"Peru",NA,"","Peru",3.33320356952026
"Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,"","Peru",5.37770587648265
"Bar Au Chocolat","Turrialba, Cartago P.",1980,2017,72,"U.S.A.",3.5,"","Costa Rica",7.03253835602663
"Bar Au Chocolat","Montserrat Hills",1980,2017,80,"U.S.A.",3.5,"","Trinidad",4.52348876534961
"Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,"","Brazil",NA
"Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"Forastero (Nacional)","Peru",NA
"Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,"","Dominican Republic",2.65464571607299
"Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,"","Mexico",NA
"Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"Trinitario","Madagascar",9.09842473361641
"Baravelli's","single estate",955,2012,80,"Wales",NA,"","Costa Rica",4.37016498297453
"Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,"","Domincan Republic",5.09597245859914
"Batch","Brazil",1868,2016,70,"U.S.A.",3.75,"","Brazil",8.48099780990742
"Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,"","Ecuador",5.92143540899269
"Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,"","Malaysia",8.68932931334712
"Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,"","Malaysia",2.43491932121105
"Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",NA,"","Brazil",7.94718534080312
"Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",NA,"","Domincan Republic",7.23622299940325
"Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",NA,"","Ecuador",9.28958683460951
"Beehive","Ecuador",1788,2016,90,"U.S.A.",NA,"","Ecuador",1.52227627974935
"Belcolade","Costa Rica",586,2010,64,"Belgium",NA,"","Costa Rica",NA
"Belcolade","Papua New Guinea",586,2010,64,"Belgium",NA,"","Papua New Guinea",NA
"Belcolade","Peru",586,2010,64,"Belgium",NA,"","Peru",7.2352306554094
"Belcolade","Ecuador",586,2010,71,"Belgium",3.5,"","Ecuador",6.64431565999985
"Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Criollo, Trinitario","Tanzania",5.73376846732572
"Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,"","Bolivia",NA
"Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,"","Domincan Republic",6.08315033349209
"Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",NA,"Trinitario","Belize",1.20830042962916
"Belyzium","Belize south",1768,2016,78,"Germany",3,"Trinitario","Belize",NA
"Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Trinitario","Belize",8.21033862535842
"Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Trinitario","Cuba",9.54626790690236
"Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Criollo","Venezuela",4.71974867279641
"Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Criollo","Venezuela",8.26169768092223
"Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"Trinitario","Ecuador",1.79526970908046
"Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"Trinitario","Indonesia",NA
"Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"Trinitario","Madagascar",8.44021045276895
"Bernachon","Nature",797,2012,55,"France",NA,"","",4.27969973487779
"Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Trinitario","Madagascar",5.9798258880619
"Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Criollo","Venezuela",1.19794343784451
"Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,"","Venezuela",9.2705927065108
"Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,"","Ecuador",7.47628554468974
"Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Trinitario","Venezuela",3.8670678450726
"Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Criollo (Porcelana)","Venezuela",5.75136100291274
"Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,"","Indonesia",8.74096161476336
"Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,"","Venezuela",8.06117739877664
"Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,"","Nicaragua",NA
"Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,"","Costa Rica",4.63959262915887
"Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,"","Costa Rica",NA
"Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Trinitario","Belize",NA
"Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Forastero","Ghana",8.68387036421336
"Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,"","Indonesia",5.47774540376849
"Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"Blend","Dominican Rep., Bali",3.47090827254578
"Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",NA,"","Indonesia",3.3851602547802
"Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Trinitario","Madagascar",3.69210498104803
"Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Criollo","Venezuela",NA
"Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,"","Dominican Republic",7.62309415335767
"Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,"","Dominican Republic",3.46945280116051
"Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Trinitario","Madagascar",NA
"Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Trinitario","Madagascar",1.67630658950657
"Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Trinitario","Madagascar",5.4486312570516
"Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,"","Panama",NA
"Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,"","Dominican Republic",6.26410084147938
"Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Forastero","Ghana",2.04201698349789
"Black Mountain","La Red",256,2008,70,"U.S.A.",NA,"","Dominican Republic",1.67461076076142
"Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",NA,"Trinitario","Venezuela",6.36637190170586
"Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,"","Nicaragua",7.72764689964242
"Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",NA,"Trinitario","Jamaica",6.03591282316484
"Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Forastero","Congo",NA
"Blanxart","Organic Dark",322,2009,72,"Spain",NA,"","",8.99567785370164
"Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Trinitario","Madagascar",1.47559548495337
"Blue Bandana","Lachua",1752,2016,75,"U.S.A.",NA,"","Guatemala",NA
"Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,"","Tanzania",9.67737313103862
"Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,"","Dominican Republic",4.32916549034417
"Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,"","Guatemala",1.35549278068356
"Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"Trinitario","Madagascar",5.40182348689996
"Boho","Maya Mtn",1996,2017,70,"U.S.A.",NA,"","Belize",3.12611442338675
"Bonnat","Selva Maya",1912,2016,75,"France",3.5,"","Mexico",8.92396511905827
"Bonnat","Kaori",1339,2014,75,"France",4,"","Brazil",NA
"Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,"","Dominican Republic",2.2852002014406
"Bonnat","Surfin",1418,2014,65,"France",3.75,"","Venez,Africa,Brasil,Peru,Mex",5.76465180749074
"Bonnat","Maragnam",1038,2013,75,"France",3.5,"","Brazil",8.68928271834739
"Bonnat","Gabon",1042,2013,75,"France",3.25,"","Gabon",NA
"Bonnat","Cuba",629,2011,75,"France",3.5,"Trinitario","Cuba",1.00418814155273
"Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,"","Peru",NA
"Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Forastero (Nacional)","Peru",9.55559137649834
"Bonnat","Libanio",629,2011,75,"France",3.75,"","Brazil",NA
"Bonnat","Haiti",629,2011,75,"France",4,"","Haiti",4.55903973174281
"Bonnat","Madagascar, 100 criollo",629,2011,75,"France",4,"Criollo","Madagascar",4.19304787763394
"Bonnat","Juliana",672,2011,75,"France",3.5,"","Brazil",1.84235488041304
"Bonnat","Jamaique",761,2011,75,"France",3.25,"Trinitario","Jamaica",NA
"Bonnat","Ivory Coast",331,2009,75,"France",3,"","Ivory Coast",7.77799089625478
"Bonnat","Porcelana, Apotequil",336,2009,75,"France",NA,"Criollo","Peru",3.39375376328826
"Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Criollo","Mexico",9.71695835143328
"Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Criollo","Mexico",8.87394148716703
"Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"Criollo (Porcelana)","Venezuela",NA
"Bonnat","Equateur",123,2007,75,"France",2.5,"Forastero (Arriba)","Ecuador",3.84231510222889
"Bonnat","Trinite",24,2006,75,"France",3.75,"Trinitario","Carribean",NA
"Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,"","Venezuela",2.48768273112364
"Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"Criollo","Venezuela",NA
"Bonnat","Madagascar",75,2006,75,"France",4,"Trinitario","Madagascar",6.67118667531759
"Bonnat","One Hundred",81,2006,100,"France",1.5,"","",6.56133510987274
"Bonnat","Ceylan",81,2006,75,"France",3,"","Sri Lanka",1.08261951222084
"Bonnat","Chuao",81,2006,75,"France",4,"Trinitario","Venezuela",3.89743638131768
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Forastero (Arriba)","Ecuador",NA
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Forastero (Arriba)","Ecuador",1.8193959989585
"Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",NA,"Trinitario","Belize",NA
"Bowler Man","Conacado",1271,2014,70,"U.S.A.",NA,"","Dominican Republic",6.57993979169987
"Brasstown","Elvesia P.",1980,2017,70,"U.S.A.",3.25,"","Dominican Republic",6.68665157794021
"Brasstown","Manabi",1984,2017,75,"U.S.A.",3.75,"","Ecuador",NA
"Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Criollo","Venezuela",NA
"Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,"","Nicaragua",6.64399630529806
"Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,"","Dominican Republic",3.3411922629457
"Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"Trinitario","Belize",6.08131391298957
"Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"Trinitario","Venezuela",NA
"Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Trinitario","Dominican Republic",3.82458314835094
"Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,"","Ecuador",8.71196878142655
"Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Forastero","Ghana",NA
"Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Trinitario","Venezuela",5.19825139152817
